base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
15ms,1248,102.809,3254776.4339999994,10396461.4,898779.6,3589.2,9841983880450.0,462598464730.6,6275609551293.8,1.6119999999999997,3904495219388.4,609256334693.8,11820321819.0,31.658870383,2705.1673324,570.6448075999999,79676475.4
18ms,104,102.617,3082534.5940000005,4911.0,243.8,1100.0,9382710030086.0,345279754301.6,6413860543807.8,1.862,3443309077268.4,481602973290.6,10732084259.2,30.0391857212,3082.4542694,0.5440182,84739673.4
18ms,208,102.9856,3100725.196,117412.0,7993.6,1738.8,9434305903037.8,346803643725.4,6462439066299.2,1.8780000000000001,3440856103578.2,481554012199.4,10723955575.6,30.1083636924,3100.5014449999994,3.5910074,84687295.4
18ms,312,103.39059999999999,3121134.4359999998,140006.8,7133.0,2115.4,9492616346668.8,348991530380.8,6510759582036.6,1.89,3444516253034.0,482621111878.4,10727770621.6,30.187732472199997,3120.066431,6.245118,84769149.8
18ms,416,102.91959999999999,3122914.148,149065.4,9099.8,2677.6,9495020454080.8,349223325197.8,6511957376605.6,1.886,3454511469881.4,485107366476.4,10752694429.2,30.3430950566,3122.2590742,8.6572058,84903906.4
18ms,520,103.28219999999999,3135165.932,158159.8,15253.2,2869.8,9529761189454.4,350874477211.0,6542110262122.0,1.8940000000000001,3451608988296.6,484575806773.4,10740236722.6,30.355349120200003,3134.0527283999995,8.0877794,84315833.8
18ms,624,103.3012,3162279.566,161242.4,9451.4,3412.6,9608437026599.4,352693505271.2,6616949472313.6,1.9140000000000001,3459051083962.8,488251556801.8,10727564714.6,30.6123264642,3160.4617144000003,9.970834,84754140.4
18ms,728,103.12159999999999,3160582.08,160038.2,9541.2,3306.6,9601597843548.8,352610790876.0,6609984599852.6,1.908,3460264631678.6,487752767910.2,10743269663.8,30.649350901600002,3158.0373668,14.206805400000002,84335701.4
18ms,832,103.03620000000001,3179804.198,161735.0,9457.2,3364.8,9657629751191.4,354362234435.6,6655757190709.0,1.916,3473229823113.4,491975228495.6,10753004944.6,30.8619788148,3177.4276706,16.4792592,84940420.8
18ms,936,102.801,3207544.432,1759979.6,97214.8,3567.6,9733598149315.0,383946701405.0,6574156777290.8,1.8079999999999998,3635075295560.2,518653665320.0,11663339577.8,31.201865519000002,3131.2812473999998,96.6105198,87283025.6
18ms,1040,102.9372,3193735.8479999998,6138964.2,369991.8,3623.8,9674518794469.2,432577423552.8,6411956721955.4,1.75,3665759739940.2,532270415222.8,11895733963.6,31.0259482098,2947.1810716,264.2784198,84250179.2
18ms,1144,102.94579999999999,3218214.4420000003,6216892.2,478453.0,3506.6,9748469290136.8,425418700491.6,6247404044003.8,1.598,3922832091997.6,591167238363.2,12135900260.2,31.261748437,2852.2983477999996,383.4581522,84849086.2
18ms,1248,102.7382,3277169.9560000002,6585922.2,585910.0,3545.6,9922017594241.2,417910827713.8,6253080796619.2,1.544,4075544129572.4,641834867023.4,11670900671.4,31.898499138600005,2808.1071824,488.95437759999993,83362917.2
21ms,104,102.86419999999998,3089481.874,3860.4,207.0,1173.2,9404397267896.4,346323908775.6,6430303219703.0,1.8700000000000003,3443854005683.0,481690141683.6,10729051392.4,30.0345788368,3089.4099285999996,0.2259786,84201417.0
21ms,208,102.8122,3096018.604,77749.8,8543.2,1699.2,9420316748937.2,346670564000.4,6447007813032.4,1.8719999999999999,3445544588788.6,482077568600.8,10738022643.2,30.113322167,3095.8001566,4.1116732,84805491.2
21ms,312,103.07480000000001,3120490.7079999996,93925.8,7557.6,2307.2,9490807447882.0,348655331953.2,6511170794076.0,1.89,3446651869345.4,483425959505.0,10725052759.2,30.274055287800003,3119.762156,6.458018,84760006.4
21ms,416,103.13600000000001,3126912.174,102595.0,8971.6,2602.4,9508151815498.0,349449474086.2,6524387868039.0,1.8940000000000001,3449234201921.2,483763950830.8,10740097000.6,30.3183705594,3126.2038335999996,7.396005199999999,84858920.0
21ms,520,103.2184,3142425.878,108709.0,14173.2,2909.2,9551095477075.6,350855846897.2,6565328946920.2,1.904,3450582624170.8,485653873636.4,10718650524.6,30.44438976,3141.0781652,9.278806999999999,84710726.2
21ms,624,103.2748,3153198.29,109617.2,10982.4,3127.8,9580664935752.6,352114349634.0,6589730847671.6,1.906,3457350046766.4,487517319205.2,10730373783.0,30.532209425799998,3151.5407067999995,10.262093,84246695.8
21ms,728,103.2184,3184395.392,109372.4,8600.2,3134.4,9672491315574.8,354449002859.0,6674395364115.6,1.924,3468658305525.8,491603691220.8,10725833418.6,30.8510897408,3182.6874914,10.841849999999999,84778751.8
21ms,832,102.94480000000001,3188195.542,110088.2,8963.6,3318.4,9680931550358.0,354739081279.0,6676081653051.6,1.92,3478439162436.6,493179002418.0,10759481557.0,30.9702023908,3185.9417278,16.5060078,84474695.4
21ms,936,103.04639999999999,3203074.4579999996,3064447.8,176931.6,3423.4,9716609265770.4,401917094083.6,6549500756098.6,1.818,3600472389090.4,514388922656.2,11561042477.6,31.084182528000003,3075.239522,144.89791240000002,85537926.2
21ms,1040,102.7164,3206799.99,5189180.2,254688.6,3369.4,9719390474330.8,413183091376.6,6315759414045.0,1.6640000000000001,3824975647945.8,569024673612.2,11836409577.8,31.2199477794,2920.3583673999997,310.4308414,85429808.6
21ms,1144,102.8545,3252453.965,8938158.5,481074.5,3471.0,9838984178628.0,468715926571.0,6477243272962.5,1.7349999999999999,3730299466367.5,551517956371.5,12156198678.5,31.6218356275,2888.4961814999997,379.43436199999996,83062998.0
